Publication,Year,Month,Last Name (1st Author),Frequency (GHz),Psat (dBm),PAEmax (%),P1dB (dBm),PAE_1dB (%),Gain (dB)
IMS,2007,6,Hung,0.8,21,62(DE),,,
MWCL,2007,8,Hung,0.8,20,61(DE),,,
RFIC,2008,6,Apostolidou,0.8,30,70,,,27
RFIC,2011,6,Singhal,0.8,19,18,,,
MWCL,2013,2,Wilk,0.8,30.5,37,,,10.5
MWCL,2013,10,Kim,0.8,28,40,,,
TMTT,2014,1,Choi,0.8,24.4,43,,,
IMS,2014,6,Kim,0.8,28,40,,,
MWCL,2018,7,Li,0.8,23.5,42.7,,,
MWCL,2020,8,Choi,0.8,30.3,45,,,43
TMTT,2020,2,Rui,0.8,24,47,,,
MWCL,2010,9,Paek,0.82,29.05,70.7,,,
MWCL,2014,7,Kim,0.825,31,53.4,29,50,31.2
TMTT,2014,11,Woo,0.837,30.3,64,29,58,32.5
TMTT,2014,11,Woo,0.837,30.3,64,29,58,32.5
IMS,2014,7,Woo,0.837,30.5,61,23,30,34
RFIC,2015,5,Woo,0.837,,63,,,25.1
ISSCC,2011,2,Kim,0.84,,,,,
ISSCC,2011,2,Kim,0.84,,,,,
MWCL,2014,3,Kim,0.847,31.2,57.8,25,40,28
RFIC,2014,6,Park,0.85,30,68.3,,,25
TMTT,2015,3,Park,0.85,31,69.2,,,25.8
ISSCC,2018,2,Yin,0.85,28.9,36.8,,,
JSSC,2019,2,Yun Yin,0.85,28.9,36.8,,,
ISSCC,2020,,Zheng,0.85,29.3,43.1,,,
MWCL,2008,9,Shim,0.86,25.2,42.5,25,41.5,27
MWCL,2010,1,Joo,0.86,33.37,56.1,,,28.37
TMTT,2011,9,Shim,0.86,27.9,53.7,,,
JSSC,2008,9,Carrara,0.87,34,55,33.5,53,18
MWCL,2016,7,Kim,0.88,27.8,52.5,22.5,17,27.5
TMTT,2016,9,Cho,0.88,27,56,22,40,12
ISSCC,2017,2,Ko,0.898,31.9,56.6,,,31.7
RFIC,2001,5,Gerna,0.9,30,46.7,27.25,,
JSSC,2001,5,Yoo,0.9,29.54,46,,,
ISSCC,2001,2,Kuo,0.9,31.76,43,,,
JSSC,2001,2,Gupta,0.9,20,30,18,20,
RFIC,2004,6,Choi,0.9,,,,,
RFIC,2005,6,Magnusson,0.9,4.4,,2.4,,10
MWCL,2006,,Jang,0.9,31.7,62.4,,,30.3
MWCL,2007,5,Jang,0.9,31.7,62.4,,,30.3
TMTT,2008,1,Shameli,0.9,27.8,34,,,
TMTT,2008,8,Wu,0.9,29.5,34.5,28,32,11.5
ISSCC,2008,2,Aoki,0.9,35,51,,,27
JSSC,2008,12,Aoki,0.9,35,51,,,27
RFIC,2009,6,Pornpromlikit,0.9,24.9,62.7,,,
RFIC,2009,6,Lee,0.9,34.5,55,,,
RFIC,2009,6,Gao,0.9,23,44,20.6,35.4,22.8
RFIC,2009,6,Gao,0.9,21,12.5,19,12,16.3
RFIC,2010,5,Leuschner,0.9,28,69.9,,,
JSSC,2013,4,Moloudi,0.9,,56,,,
IMS,2014,6,Wu,0.9,19.5,19.5,17.1,,22
MWCL,2014,9,Kim,0.9,,,,,28 / 24.5
IMS,2015,5,Kim,0.9,,,,,
JSSC,2015,3,Ding,0.9,24.4,55,,,
